BlockID,Date,Time,Meters,Cars,
1,Thursday,4,2,2,
2,Thursday,4,6,5,
3,Thursday,4,6,6,
4,Thursday,4,3,1,
5,Thursday,4,7,3,
6,Thursday,4,2,1,
7,Thursday,4,3,2,
8,Thursday,4,5,4,
9,Thursday,4,2,1,
10,Thursday,4,3,2,
11,Thursday,4,5,5,
12,Thursday,4,2,2,
13,Thursday,4,4,4,
14,Thursday,4,5,3,
15,Thursday,4,4,3,
16,Thursday,4,5,3,
17,Thursday,4,3,2,
18,Thursday,4,4,4,
19,Thursday,4,4,4,
20,Thursday,4,10,6,
21,Thursday,4,4,3,
22,Thursday,4,9,8,
23,Thursday,4,5,5,
24,Thursday,4,3,3,
25,Thursday,4,4,4,
26,Thursday,4,14,7,
27,Thursday,4,6,6,
28,Thursday,4,6,5,
29,Thursday,4,4,3,
30,Thursday,4,77,46,
31,Thursday,4,5,5,
32,Thursday,4,11,10,
33,Thursday,4,2,2,
34,Thursday,4,4,4,
35,Thursday,4,3,3,
36,Thursday,4,47,21,
37,Thursday,4,4,3,
1,Thursday,5,2,2,
2,Thursday,5,6,4,
3,Thursday,5,6,6,
4,Thursday,5,3,2,
5,Thursday,5,7,4,
6,Thursday,5,2,0,
7,Thursday,5,3,2,
8,Thursday,5,5,5,
9,Thursday,5,2,0,
10,Thursday,5,3,3,
11,Thursday,5,5,5,
12,Thursday,5,2,2,
13,Thursday,5,4,4,
14,Thursday,5,5,2,
15,Thursday,5,4,3,
16,Thursday,5,5,2,
17,Thursday,5,3,2,
18,Thursday,5,4,4,
19,Thursday,5,4,2,
20,Thursday,5,10,7,
21,Thursday,5,4,2,
22,Thursday,5,9,7,
23,Thursday,5,5,5,
24,Thursday,5,3,3,
25,Thursday,5,4,4,
26,Thursday,5,14,9,
27,Thursday,5,6,6,
28,Thursday,5,6,6,
29,Thursday,5,4,4,
30,Thursday,5,77,48,
31,Thursday,5,5,5,
32,Thursday,5,11,11,
33,Thursday,5,2,2,
34,Thursday,5,4,4,
35,Thursday,5,3,2,
36,Thursday,5,47,19,
37,Thursday,5,4,2,
1,Thursday,6,2,2,
2,Thursday,6,6,6,
3,Thursday,6,6,6,
4,Thursday,6,3,3,
5,Thursday,6,7,7,
6,Thursday,6,2,2,
7,Thursday,6,3,3,
8,Thursday,6,5,5,
9,Thursday,6,2,2,
10,Thursday,6,3,3,
11,Thursday,6,5,4,
12,Thursday,6,2,2,
13,Thursday,6,4,4,
14,Thursday,6,5,5,
15,Thursday,6,4,4,
16,Thursday,6,5,5,
17,Thursday,6,3,3,
18,Thursday,6,4,4,
19,Thursday,6,4,4,
20,Thursday,6,10,10,
21,Thursday,6,4,4,
22,Thursday,6,9,8,
23,Thursday,6,5,5,
24,Thursday,6,3,3,
25,Thursday,6,4,4,
26,Thursday,6,14,14,
27,Thursday,6,6,6,
28,Thursday,6,6,6,
29,Thursday,6,4,4,
30,Thursday,6,77,68,
31,Thursday,6,5,5,
32,Thursday,6,11,11,
33,Thursday,6,2,2,
34,Thursday,6,4,4,
35,Thursday,6,3,3,
36,Thursday,6,47,22,
37,Thursday,6,4,4,
1,Thursday,7,2,2,
2,Thursday,7,6,6,
3,Thursday,7,6,5,
4,Thursday,7,3,3,
5,Thursday,7,7,7,
6,Thursday,7,2,2,
7,Thursday,7,3,3,
8,Thursday,7,5,5,
9,Thursday,7,2,2,
10,Thursday,7,3,3,
11,Thursday,7,5,5,
12,Thursday,7,2,2,
13,Thursday,7,4,4,
14,Thursday,7,5,4,
15,Thursday,7,4,4,
16,Thursday,7,5,4,
17,Thursday,7,3,3,
18,Thursday,7,4,4,
19,Thursday,7,4,4,
20,Thursday,7,10,10,
21,Thursday,7,4,4,
22,Thursday,7,9,9,
23,Thursday,7,5,5,
24,Thursday,7,3,3,
25,Thursday,7,4,4,
26,Thursday,7,14,13,
27,Thursday,7,6,6,
28,Thursday,7,6,6,
29,Thursday,7,4,4,
30,Thursday,7,77,77,
31,Thursday,7,5,5,
32,Thursday,7,11,11,
33,Thursday,7,2,2,
34,Thursday,7,4,4,
35,Thursday,7,3,2,
36,Thursday,7,47,40,
37,Thursday,7,4,4,
1,Friday,4,2,2,
2,Friday,4,6,4,
3,Friday,4,6,5,
4,Friday,4,3,1,
5,Friday,4,7,5,
6,Friday,4,2,2,
7,Friday,4,3,3,
8,Friday,4,5,3,
9,Friday,4,2,1,
10,Friday,4,3,3,
11,Friday,4,5,5,
12,Friday,4,2,0,
13,Friday,4,4,1,
14,Friday,4,5,5,
15,Friday,4,4,3,
16,Friday,4,5,4,
17,Friday,4,3,2,
18,Friday,4,4,2,
19,Friday,4,4,3,
20,Friday,4,10,7,
21,Friday,4,4,4,
22,Friday,4,9,5,
23,Friday,4,5,4,
24,Friday,4,3,3,
25,Friday,4,4,4,
26,Friday,4,14,13,
27,Friday,4,6,2,
28,Friday,4,6,6,
29,Friday,4,4,4,
30,Friday,4,77,45,
31,Friday,4,5,4,
32,Friday,4,11,7,
33,Friday,4,2,2,
34,Friday,4,4,2,
35,Friday,4,3,1,
36,Friday,4,47,25,
37,Friday,4,4,3,
1,Friday,5,2,1,
2,Friday,5,6,2,
3,Friday,5,6,4,
4,Friday,5,3,3,
5,Friday,5,7,5,
6,Friday,5,2,0,
7,Friday,5,3,0,
8,Friday,5,5,4,
9,Friday,5,2,2,
10,Friday,5,3,3,
11,Friday,5,5,4,
12,Friday,5,2,0,
13,Friday,5,4,2,
14,Friday,5,5,5,
15,Friday,5,4,3,
16,Friday,5,5,4,
17,Friday,5,3,3,
18,Friday,5,4,4,
19,Friday,5,4,4,
20,Friday,5,10,9,
21,Friday,5,4,2,
22,Friday,5,9,9,
23,Friday,5,5,2,
24,Friday,5,3,3,
25,Friday,5,4,3,
26,Friday,5,14,13,
27,Friday,5,6,5,
28,Friday,5,6,6,
29,Friday,5,4,2,
30,Friday,5,77,41,
31,Friday,5,5,3,
32,Friday,5,11,11,
33,Friday,5,2,2,
34,Friday,5,4,4,
35,Friday,5,3,3,
36,Friday,5,47,20,
37,Friday,5,4,3,
1,Friday,6,2,2,
2,Friday,6,6,6,
3,Friday,6,6,4,
4,Friday,6,3,3,
5,Friday,6,7,7,
6,Friday,6,2,2,
7,Friday,6,3,2,
8,Friday,6,5,5,
9,Friday,6,2,2,
10,Friday,6,3,3,
11,Friday,6,5,5,
12,Friday,6,2,2,
13,Friday,6,4,3,
14,Friday,6,5,5,
15,Friday,6,4,3,
16,Friday,6,5,5,
17,Friday,6,3,3,
18,Friday,6,4,4,
19,Friday,6,4,3,
20,Friday,6,10,9,
21,Friday,6,4,3,
22,Friday,6,9,9,
23,Friday,6,5,5,
24,Friday,6,3,3,
25,Friday,6,4,4,
26,Friday,6,14,12,
27,Friday,6,6,6,
28,Friday,6,6,4,
29,Friday,6,4,4,
30,Friday,6,77,42,
31,Friday,6,5,5,
32,Friday,6,11,11,
33,Friday,6,2,2,
34,Friday,6,4,4,
35,Friday,6,3,3,
36,Friday,6,47,22,
37,Friday,6,4,4,
1,Friday,7,2,2,
2,Friday,7,6,6,
3,Friday,7,6,4,
4,Friday,7,3,3,
5,Friday,7,7,7,
6,Friday,7,2,2,
7,Friday,7,3,3,
8,Friday,7,5,5,
9,Friday,7,2,2,
10,Friday,7,3,3,
11,Friday,7,5,5,
12,Friday,7,2,2,
13,Friday,7,4,4,
14,Friday,7,5,5,
15,Friday,7,4,3,
16,Friday,7,5,4,
17,Friday,7,3,2,
18,Friday,7,4,4,
19,Friday,7,4,4,
20,Friday,7,10,10,
21,Friday,7,4,4,
22,Friday,7,9,9,
23,Friday,7,5,5,
24,Friday,7,3,3,
25,Friday,7,4,4,
26,Friday,7,14,14,
27,Friday,7,6,6,
28,Friday,7,6,6,
29,Friday,7,4,4,
30,Friday,7,77,70,
31,Friday,7,5,5,
32,Friday,7,11,11,
33,Friday,7,2,2,
34,Friday,7,4,4,
35,Friday,7,3,3,
36,Friday,7,47,33,
37,Friday,7,4,4,
1,Saturday,4,2,1,
2,Saturday,4,6,4,
3,Saturday,4,6,2,
4,Saturday,4,3,0,
5,Saturday,4,7,6,
6,Saturday,4,2,2,
7,Saturday,4,3,3,
8,Saturday,4,5,5,
9,Saturday,4,2,2,
10,Saturday,4,3,3,
11,Saturday,4,5,5,
